source_id,section,title,subcategory,clinical_cluster,definition,example_ed,example_primary_care,clinical_setting,source_of_variability,encounter_frequency,error_rate_given_exposure,notes,review_scenario
M11,Management,Predicting clinical deterioration and acting preemptively,Anticipatory and preemptive reasoning,7 - Anticipatory Clinical Reasoning,Recognizing early signals of impending deterioration and initiating management before the patient meets formal criteria for intervention. Requires pattern recognition from experience rather than protocol adherence.,Patient with borderline vitals and 'looking sick' — not yet meeting sepsis criteria but experienced clinician starts antibiotics early. Intubation setup for the patient who isn't yet in respiratory failure but is trending that way.,Patient with stable CHF whose weight is trending up 2lbs/week for 3 weeks — intervene now or wait for symptoms? Diabetic with gradually worsening renal function — when to refer nephrology?,Both,Expert-novice gap is largest here; AI could surface trends physicians miss in data-dense environments,High Clinical deterioration recognition is a continuous background task in inpatient and ED care; required across all acuity levels,High Early warning score sensitivity 73.9% with human recognition as the limiting factor; failure to rescue from preventable deterioration is a leading inpatient safety event (Miranda 2017),Separates expert from novice reasoning — fascinating AI teaming question,A patient looks unwell and has borderline vital signs but does not yet meet formal criteria for ICU transfer or a sepsis bundle. You need to decide whether to intervene early based on pattern recognition or wait for clearer objective deterioration.
D1,Diagnostic,Undifferentiated chest pain risk stratification,Probabilistic risk stratification,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,"Determining disposition and workup for patients whose risk factors place them in an intermediate-risk category, requiring synthesis of history, ECG, labs, and risk scores. 47% physician difficulty rate; top malpractice claim; 2-4x physician variation.","45yo M with atypical chest pain, normal ECG, mildly elevated troponin. ACS vs. dissection vs. musculoskeletal. Admit vs. obs vs. discharge?",55yo F with exertional chest tightness and 2 cardiac risk factors. Office ECG normal. Send to ED vs. stress test outpatient vs. reassurance?,Both,Premature closure dominant error,High Chest pain is among the top 3 ED chief complaints nationally; risk stratification required for every presentation,"Medium HEART score kappa 0.48 between physicians; >25% risk classification disagreement between ED physicians and cardiologists (Wu 2016, Soares 2021)",,"A 45-year-old with chest pain has a nondiagnostic ECG and only a mild troponin elevation. You need to decide whether this presentation warrants discharge, observation, or a more aggressive workup for a potentially dangerous cause."
D2,Diagnostic,Sepsis recognition in ambiguous presentations,Time-critical pattern recognition,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,Early identification of SIRS/sepsis in patients with vague symptoms or atypical biomarkers. 7.6% mortality increase per hour of antibiotic delay; SEP-3 sensitivity only 54-70%; bundle compliance 20-70%.,Immunocompromised patient with WBC elevation but minimal symptoms and borderline vitals.,"Elderly diabetic with fatigue and mild confusion, afebrile. UTI vs. early sepsis vs. dehydration? Send to ED?",Both,Time-sensitivity + nonspecific presentations,High Sepsis presentations encountered daily in ED and inpatient settings; ambiguous early presentations are the norm not the exception,High SEP-3 sensitivity only 54-70%; 7.6% mortality increase per hour of antibiotic delay; missed sepsis a leading cause of preventable inpatient death,"Good example, esp. re Epic ML prediction tool. SEP not a great model....","An older immunocompromised patient presents with fatigue, mild confusion, and borderline vital signs but no clear source of infection. You need to decide whether this is early sepsis, a less dangerous process, or something else entirely."
D3,Diagnostic,Stroke diagnosis including posterior circulation,Time-critical pattern recognition,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,Recognizing stroke presentations including subtle posterior circulation strokes. 9-26% misdiagnosis rate; posterior strokes missed 20-40%; every 15-min delay increases mortality.,"Elderly female with nystagmus, NIH 0, dizziness. CT imaging equivocal. Stroke protocol + TNK?",65yo M with 2 days of episodic vertigo and gait unsteadiness. TIA vs. BPPV? Urgency of imaging?,Both,Posterior strokes lack classic presentation; anchoring on benign diagnoses,Medium Stroke presentations are common in ED but posterior circulation strokes represent ~20% of strokes; atypical presentations seen regularly,High Posterior circulation stroke frequently missed by both EM and neurology in ED; miss rates estimated at 35-40% in atypical presentations (Arch 2016),,"An older patient presents with dizziness, gait instability, and nystagmus, but the initial imaging is equivocal and the NIH stroke scale is low. You need to decide whether this is a posterior circulation stroke that demands urgent treatment or a less dangerous vestibular process."
D4,Diagnostic,Pulmonary embolism evaluation,Probabilistic risk stratification,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,"Risk-stratifying and evaluating for PE with variable pre-test probability, D-dimer thresholds, and imaging decisions. Missed in ~33% of fatal autopsy cases. top 5 malpractice claim.",32yo F post-partum with pleuritic chest pain and tachycardia. D-dimer elevated. CT-PA vs. V/Q?,32yo F on OCPs with shortness of breath in clinic. Should she be sent to the ER?,Both,Subjective pretest probability + variable D-dimer thresholds; imaging threshold shaped by fear of missed diagnosis / medicolegal risk,High PE evaluation required across a wide range of presentations in ED and primary care; among the most common diagnostic dilemmas,Medium Structured algorithms reduce CT-PA ordering ~11% without increasing missed PE (Ehrman 2021); over- and under-testing both documented; clinical gestalt unreliable alone,,"A postpartum patient presents with pleuritic chest pain, tachycardia, and shortness of breath. You need to judge the likelihood of pulmonary embolism and choose the next diagnostic step without exposing the patient to unnecessary testing."
D5,Diagnostic,Pediatric abdominal pain evaluation,Probabilistic risk stratification,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,"Determining appropriate workup intensity for children with abdominal pain, balancing diagnostic yield against radiation/procedural risk.","4yo with abnormal vitals, holding stomach. CT vs. ultrasound vs. observation? Appendicitis vs. constipation vs. intussusception.",8yo with recurrent abdominal pain and weight loss. Functional vs. IBD vs. celiac? When to image?,Both,Radiation risk aversion vs. miss risk; variable imaging thresholds by institution,Medium Pediatric abdominal pain is a frequent ED presentation; appendicitis evaluation required in a meaningful subset,"Medium Ultrasound sensitivity only 38% for appendicitis; CT superior but radiation risk creates decision complexity; CDR reduces CT use ~20% (Gregory 2016, Abo 2011)",Confirm pediatric tasks in scope,"A young child presents with abdominal pain, abnormal vital signs, and limited ability to explain the symptoms. You need to decide how aggressively to evaluate for a surgical emergency while minimizing unnecessary radiation or invasive testing."
D6,Diagnostic,Altered mental status workup,Probabilistic risk stratification,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,"Systematic evaluation of AMS across metabolic, infectious, neurologic, toxic, and psychiatric etiologies when the presentation is undifferentiated.","30yo with substance use history, severely confused, abnormal vitals. Toxic-metabolic vs. CNS infection vs. structural? CT? LP?",75yo brought by family for progressive confusion over 2 weeks. UTI vs. medication side effect vs. early dementia vs. subdural?,Both,Wide differential creates anchoring risk; framing by EMS report biases workup,High AMS is among the top 5 ED chief complaints; encountered daily across ED and inpatient medicine,High Delirium missed in >50% of older ED patients (Sanders 2002); 84.6% of delirium cases unrecognized in multicenter ED study (Boucher 2019),,"A patient with severe confusion, abnormal vital signs, and a history that could fit toxic, infectious, or neurologic causes arrives without a reliable historian. You need to structure the workup quickly while the differential remains broad and high risk."
D7,Diagnostic,Diagnosis with incomplete or limited data,Signal extraction under noise,8 - Diagnosis Under Data Constraints,"Evaluating potential diagnoses when standard diagnostic information is unavailable, inadequate, or contraindicated.",CT without contrast due to allergies — can you rule out PE? Incomplete hand X-ray series — fracture vs. no fracture?,Patient declines bloodwork for religious reasons. Assessing anemia clinically only.,Both,Clinician comfort with uncertainty varies widely; risk tolerance differences,High Incomplete data is the default state of clinical practice; rare to have complete information at point of decision,Medium Error rates under incomplete data conditions difficult to quantify directly; comfort with uncertainty as a learnable skill suggests significant variability across providers (Ilgen 2019),might be difficult to get 1000 patient cases for this,"A patient may have a serious diagnosis, but the usual confirming data are missing because the key test is incomplete, contraindicated, or declined. You need to decide how much diagnostic confidence is possible with limited information."
D8,Diagnostic,Imaging and test interpretation with incomplete context,Signal extraction under noise,8 - Diagnosis Under Data Constraints,"Interpreting diagnostic studies (imaging, ECG, labs) when clinical context is limited or absent. Chest X-ray discordance 20-30%; mammography sensitivity 62-91% across radiologists.",ECG arrives in triage with no clinical context. NSTEMI? STEMI? Baseline changes?,Abnormal mammogram result arrives — patient has implants and prior radiation. True positive vs. artifact?,Both,Interpreter expertise variation; availability of comparison studies; anchoring on prior reads,High Imaging and test interpretation without full clinical context occurs daily; results read without access to complete history is common in radiology and ED workflows,Medium Chest X-ray discordance 20-30%; mammography sensitivity 62-91% across radiologists; AI discordance with specialists documented when clinical context absent (Young 2024),"Related to D8 but distinct — D8 is about missing data, D9 is about interpreting data without context",An abnormal test result reaches you with little or no clinical context about why it was ordered or what the patient looked like at the time. You need to decide how much weight to give the finding and what follow-up it should trigger.
D9,Diagnostic,Undifferentiated symptoms in vulnerable populations,Probabilistic risk stratification,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,"Diagnostic reasoning for patients who cannot clearly communicate symptoms or whose presentations are inherently atypical (young children, elderly, cognitively impaired, non-verbal).","Pre-verbal toddler with fever, vomiting, abdominal pain. Virus vs. appendicitis vs. intussusception?",Non-verbal dementia patient with agitation. Pain? UTI? Medication effect? Constipation?,Both,Communication barriers increase reliance on pattern recognition over history,"Medium Vulnerable populations (elderly, cognitively impaired, pediatric) represent a significant but not dominant proportion of daily encounters",High Atypical presentations in immunocompromised and elderly patients are a leading source of diagnostic delay; missed diagnoses disproportionately concentrated in these populations,Overlaps D6 (peds) and D7 (AMS) — panel should decide scope,"A patient from a vulnerable population cannot clearly describe symptoms, and the presentation could reflect either benign illness or a high-risk diagnosis. You need to infer what matters most from sparse or indirect information."
D10,Diagnostic,High-risk diagnosis confirmation before irreversible intervention,Time-critical pattern recognition,2 - High-Risk Diagnostic Rule Out / Uncertainty Management,Confirming a time-sensitive diagnosis with sufficient confidence to initiate an irreversible or high-risk treatment under time pressure.,Acute stroke — sufficient evidence to administer TPA within window? New-onset AFib with RVR — rate control vs. cardioversion?,Suspected meningitis in child with fever and neck stiffness — start empiric antibiotics before LP results?,Both,Time pressure compresses analytical reasoning; irreversibility raises stakes of error,"Low High-stakes irreversible interventions (thrombolytics, emergent surgery, cath lab activation) are lower-frequency events even in high-acuity settings",High When errors occur they are catastrophic and irreversible; wrong-patient or wrong-diagnosis thrombolysis and surgery represent the highest-severity diagnostic errors in medicine,"Meta-task that overlaps D2, D3 — consider whether this is a dimension rather than a task","A time-sensitive diagnosis is suspected, and the next treatment step could be beneficial if correct but harmful if wrong. You need to decide whether the evidence is strong enough to proceed before certainty is possible."
D11,Diagnostic,Cancer screening interpretation and follow-up,Longitudinal trajectory tracking,3 - Longitudinal Care Tracking,"Interpreting ambiguous screening results (imaging, labs) and determining appropriate follow-up intensity, balancing overdiagnosis against missed early-stage disease.",Incidental lung nodule on trauma CT. Follow-up recommendation? Fleischner criteria application.,PSA 5.2 in a 62yo. Biopsy vs. repeat vs. MRI? Patient anxiety vs. overdiagnosis risk.,Both,Guideline complexity; variable risk tolerance for watchful waiting vs. intervention,High Cancer screening interpretation required across the vast majority of primary care panels; follow-up decisions generated continuously,Medium Mammography sensitivity 62-91% across radiologists; follow-up variability for ambiguous findings (BI-RADS 3-4) is well documented; no single error rate but substantial practice variation,"Gap identified — high-risk, high-frequency primary care task","A screening or incidental cancer-related result is abnormal but not definitive. You need to decide whether to escalate immediately, repeat testing, or monitor over time while balancing anxiety, overdiagnosis, and missed disease."
D12,Diagnostic,Incidental finding management,Longitudinal trajectory tracking,3 - Longitudinal Care Tracking,Determining appropriate workup and follow-up for unexpected findings discovered during evaluation for a different clinical question.,CT abdomen for appendicitis reveals adrenal mass. Workup now or outpatient? Who follows up?,Chest X-ray for cough shows small pleural effusion. Pursue further or monitor?,Both,Handoff failures for incidental findings; variable follow-up infrastructure,High Incidental findings generated in a large proportion of imaging studies; estimated >50% of CT scans contain at least one incidental finding,High Follow-up rates for incidental findings highly variable across institutions; significant proportion lost to follow-up; no standardized management protocols in most systems (Berland 2010),Related to D12 but distinct — incidentals are unplanned,"A test ordered for one problem unexpectedly reveals a different abnormality that may or may not matter. You need to decide whether to work it up now, arrange outpatient follow-up, or monitor without overreacting."
D13,Diagnostic,Premature closure after initial diagnosis identified,Premature closure resistance,9 - Cognitive Bias and Diagnostic Error Resistance,"Stopping the diagnostic search after identifying an initial finding, missing co-existing conditions, secondary injuries, or alternative diagnoses that explain the full clinical picture.","Trauma patient with obvious femur fracture — missed C-spine injury because attention focused on the dramatic finding. Polysubstance OD — treating for opioids, missing concurrent benzodiazepine ingestion.","Patient with confirmed UTI and dysuria — missed concurrent diabetes diagnosis from glucose on UA. Treating depression, missing hypothyroidism causing same symptoms.",Both,Cognitive offloading once 'an answer' is found; satisfaction of search well-documented in radiology and EM,High Every diagnostic encounter carries risk of premature closure; the cognitive tendency is universal and not confined to specific presentations,High Premature closure identified in 58.5% of diagnostic error cases (Watari 2022); contributes to 40-85% of diagnostic errors across specialties,Classic cognitive error — highly benchmarkable with multi-problem vignettes. might be tough to find 1000 cases of this specific task problem. might be better as a dimension,"A dramatic diagnosis has already been identified, and the team’s attention is anchored there. You need to decide whether anything important could still be missing despite having already found one obvious explanation."
D14,Diagnostic,Re-evaluating a working diagnosis when new data contradicts it,Anchoring and belief updating,9 - Cognitive Bias and Diagnostic Error Resistance,"Updating or abandoning an initial diagnostic impression when subsequent information (labs, imaging, clinical trajectory) is inconsistent with the working diagnosis. Requires metacognitive awareness that the initial frame may be wrong.",Patient admitted for CHF exacerbation not improving with diuresis — actually a PE. EMS report says 'psych patient' — actually hypoglycemic.,Treating recurrent 'GERD' for months — actually eosinophilic esophagitis. Attributing fatigue to depression — actually new-onset anemia from colon cancer.,Both,Anchoring bias is the most studied cognitive bias in medicine; sunk cost of prior workup reinforces original diagnosis,High Working diagnosis reassessment required whenever new data arrives; a continuous background cognitive task in every clinical encounter,High Anchoring identified in 60% of diagnostic error cases (Watari 2022); failure to update on contradicting data present in ~30% of diagnostic errors in autopsy studies (Croskerry),"Distinct from D14 — premature closure is stopping too early, anchoring is refusing to change course","A patient is being treated for a working diagnosis, but the clinical course and new data no longer fit. You need to decide when to abandon the original frame and reopen the differential."
D15,Diagnostic,Integrating discordant diagnostic information,Multi-source data integration,9 - Cognitive Bias and Diagnostic Error Resistance,"Synthesizing and weighing conflicting signals across data sources (history vs. labs vs. imaging vs. exam) when they point toward different diagnoses, without defaulting to a single data source.","Chest pain patient: history suggests ACS, troponin borderline, ECG shows non-specific changes, CT-A shows no PE but incidental finding. Which signal dominates?","Patient reports feeling fine, A1c is 11, home glucometer readings are all normal. Which data do you trust? Device malfunction vs. non-compliance vs. lab error?",Both,Clinicians vary in which data source they weight most heavily; no standard hierarchy for conflicting information,"High Discordant data across history, exam, labs, and imaging is the norm in complex presentations; integration required in nearly every non-straightforward case",High HFpEF diagnosis discordant in 50% of cases between testing positions (Fudim 2024); data integration failure is a core mechanism of diagnostic error across specialties,"Common daily challenge — AI could help or hurt depending on which signal it amplifies--DJM agree, good hard example.","History, exam, labs, and imaging are pointing in different directions rather than converging on a single answer. You need to decide which signals deserve the most trust and how to integrate the conflicting information into one plan."
D16,Diagnostic,EHR signal-to-noise filtering under information overload,Values and goals integration,8 - Diagnosis Under Data Constraints,"Identifying clinically relevant findings and red flags within an EHR record saturated with repetitive notes, auto-populated text, redundant alerts, and irrelevant historical entries, requiring active filtering to extract the signal that drives decision-making.","Patient presents with chest pain. Chart contains 400+ notes, majority of which are copied forward. Provider must identify the one note from 6 months ago documenting prior cocaine use and QTc prolongation.",Complex patient with 12 years of records. Must locate prior colonoscopy result and pathology report buried among hundreds of routine visit notes to determine cancer screening interval.,Both,EHR design and information architecture; note bloat from copy-forward behavior; alert fatigue; provider experience with chart navigation,High Heavy EHR use is near-universal; note bloat and alert fatigue documented across all clinical settings; the average ICU physician encounters 100+ alerts per day (van der Sijs 2006),High Alert fatigue contributes to override rates of 49-96% (Slight 2013); missed findings in voluminous records implicated in diagnostic error; information overload cited as a leading contributor to cognitive failures (Singh 2013),particularly observable in ChatEHR query logs where providers search for buried information,"A clinically complex patient has years of copied-forward notes, redundant alerts, and buried key details in the chart. You need to identify the few pieces of information that actually change today’s decision-making."
C1,Communication,Informed consent under impaired capacity,High-stakes disclosure,"10 - Capacity, Consent, and Patient Autonomy","Obtaining informed consent when decision-making capacity is questionable, requiring simultaneous capacity assessment and risk communication.",Intoxicated patient needing laceration repair. Capacity to consent? Proceed vs. wait vs. surrogate?,Early dementia patient needing to consent to colonoscopy. Understands benefits but not risks.,Both,Capacity assessment is subjective; urgency vs. autonomy tradeoff,Medium Impaired capacity presentations occur regularly in ED and inpatient settings; less common but not rare in primary care,High Capacity assessment frequently omitted or performed informally; inadequate assessment documented as contributing factor in consent-related adverse events (Barstow 2018),,"An intoxicated patient needs an urgent but non-life-saving procedure and cannot clearly demonstrate understanding of the risks and options. You need to decide whether the patient has capacity, whether treatment can proceed, and whether a surrogate should be involved."
C2,Communication,Critical diagnosis disclosure and shared decision-making,Adaptive patient communication,11 - High-Stakes Patient Disclosure,Communicating a new serious diagnosis while simultaneously engaging the patient in treatment decision-making under emotional distress.,Telling a patient their CT shows a large mass concerning for cancer. Next steps in the ED.,"Delivering a new cancer diagnosis at a follow-up visit. Treatment options, prognosis, referrals.",Both,Framing effects; physician comfort with uncertainty; cultural factors,Medium Critical diagnosis disclosure required for every new serious diagnosis; frequency depends on practice setting and specialty,High SDM-aligned communication not consistently associated with reduced prognostic misunderstanding in ICU (Vick 2024); patient comprehension of serious diagnoses frequently overestimated by clinicians,,"You are meeting a patient whose imaging strongly suggests a new cancer diagnosis. In the same conversation, you need to explain the finding, respond to emotion, and help the patient understand the immediate next decisions."
C3,Communication,Health literacy-adapted communication,Working memory and task resumption,12 - Patient Communication Adaptation,"Adjusting clinical communication to patient health literacy level while ensuring adequate understanding of diagnosis, treatment plan, and follow-up.","Discharging patient with new AFib, anticoagulation instructions, and return precautions.",Explaining insulin initiation to a patient with limited English proficiency and 4th grade reading level.,Both,Patient literacy variation; time constraints; interpreter availability,High Health literacy adaptation required in the majority of clinical encounters; ~36% of US adults have basic or below basic health literacy,"High Gaps in health literacy awareness among community clinicians documented; behavior change limited even after training (Hildenbrand 2020, Mor-Anavy 2021)",,A patient with limited health literacy needs discharge instructions for a new high-risk condition and a medication that requires careful adherence. You need to explain the plan in a way the patient can actually understand and use at home.
C4,Communication,Cognitive task interruption and resumption,High-stakes information transfer,13 - Cognitive Load and Workflow Integrity,"Returning to a complex cognitive task after an interruption, with risk of losing context, skipping steps, or making errors due to disrupted working memory.","Calculating medication dosing for critical patient, interrupted by code blue, then returning to original task.","Reviewing complex lab panel, interrupted by urgent phone call, resuming review and missing abnormal value.",Both,Interruption frequency varies by setting; no standard resumption protocols,High Interruptions occur multiple times per hour in ED and inpatient settings; task resumption required continuously throughout every shift,High 13.5% of ED discharge prescriptions had errors with interruptions as contributing factor (Anzan 2021); physicians underestimate actual interruption frequency (Eng 2019),Human factors literature strongly supports this,"You are calculating a weight-based medication dose for a critically ill patient when a code blue interrupts you. When you return to the original task a few minutes later, you need to resume safely without losing context or skipping a step."
